Tree,Location,Timestamp,Depth,Moisture,Temperature
TV1,Inner,2023-07-25T09:11:00Z,1,17.5,18.5
TV1,Inner,2023-07-25T09:11:00Z,2,10.5,19
TV1,Inner,2023-07-25T09:11:00Z,3,11,19.2
TV1,Inner,2023-07-25T09:11:00Z,4,1.7,19.2
TV1,Inner,2023-07-25T09:11:00Z,5,25.5,19.3
TV1,Inner,2023-07-25T09:11:00Z,6,23.2,19.3
TV1,Inner,2023-07-25T09:11:00Z,7,NA,19.1
TV1,Inner,2023-07-25T10:11:00Z,1,17.5,18.5
TV1,Inner,2023-07-25T10:11:00Z,2,10.6,19
TV1,Inner,2023-07-25T10:11:00Z,3,11,19.1
TV1,Inner,2023-07-25T10:11:00Z,4,1.6,19.2
TV1,Inner,2023-07-25T10:11:00Z,5,25.5,19.3
TV1,Inner,2023-07-25T10:11:00Z,6,23.2,19.3
TV1,Inner,2023-07-25T10:11:00Z,7,NA,19
TV1,Inner,2023-07-25T11:11:00Z,1,17.3,18.5
TV1,Inner,2023-07-25T11:11:00Z,2,10.6,19
TV1,Inner,2023-07-25T11:11:00Z,3,11,19.1
TV1,Inner,2023-07-25T11:11:00Z,4,1.6,19.2
TV1,Inner,2023-07-25T11:11:00Z,5,25.5,19.2
TV1,Inner,2023-07-25T11:11:00Z,6,23.2,19.5
TV1,Inner,2023-07-25T11:11:00Z,7,NA,19
TV1,Inner,2023-07-25T12:11:00Z,1,17.1,18.5
TV1,Inner,2023-07-25T12:11:00Z,2,10.6,19
TV1,Inner,2023-07-25T12:11:00Z,3,11,19.1
TV1,Inner,2023-07-25T12:11:00Z,4,1.7,19.2
TV1,Inner,2023-07-25T12:11:00Z,5,25.5,19.3
TV1,Inner,2023-07-25T12:11:00Z,6,23.2,19.3
TV1,Inner,2023-07-25T12:11:00Z,7,NA,19
TV1,Inner,2023-07-25T13:11:00Z,1,17,18.6
TV1,Inner,2023-07-25T13:11:00Z,2,10.6,19
TV1,Inner,2023-07-25T13:11:00Z,3,11,19.1
TV1,Inner,2023-07-25T13:11:00Z,4,1.6,19.2
TV1,Inner,2023-07-25T13:11:00Z,5,25.5,19.2
TV1,Inner,2023-07-25T13:11:00Z,6,23.2,19.3
TV1,Inner,2023-07-25T13:11:00Z,7,NA,19
TV1,Inner,2023-07-25T14:11:00Z,1,16.8,18.7
TV1,Inner,2023-07-25T14:11:00Z,2,10.6,19
TV1,Inner,2023-07-25T14:11:00Z,3,11,19.1
TV1,Inner,2023-07-25T14:11:00Z,4,1.6,19.2
TV1,Inner,2023-07-25T14:11:00Z,5,25.5,19.2
TV1,Inner,2023-07-25T14:11:00Z,6,23.2,19.3
TV1,Inner,2023-07-25T14:11:00Z,7,NA,19
TV1,Inner,2023-07-25T15:11:00Z,1,16.7,18.7
TV1,Inner,2023-07-25T15:11:00Z,2,10.6,18.8
TV1,Inner,2023-07-25T15:11:00Z,3,11,19.1
TV1,Inner,2023-07-25T15:11:00Z,4,1.7,19.2
TV1,Inner,2023-07-25T15:11:00Z,5,25.5,19.2
